sic,knowDepr,organDepr,gamma,industry5
2771,.43,.2,.2,"Consumer"
2452,.35,.2,.22,"Other"
8051,.43,.2,.2,"Consumer"
6141,.35,.2,.22,"Other"
7331,.35,.2,.22,"Other"
2540,.5,.2,.21,"Manuf."
7370,.42,.2,.37,"High-tech"
2200,.43,.2,.2,"Consumer"
1540,.35,.2,.22,"Other"
8000,.43,.2,.2,"Consumer"
7011,.35,.2,.22,"Other"
3711,.43,.2,.2,"Consumer"
5990,.43,.2,.2,"Consumer"
4923,.5,.2,.21,"Manuf."
3845,.33,.2,.51,"Health"
8731,.42,.2,.37,"High-tech"
3621,.5,.2,.21,"Manuf."
4412,.35,.2,.22,"Other"
7900,.35,.2,.22,"Other"
2520,.5,.2,.21,"Manuf."
7200,.43,.2,.2,"Consumer"
8090,.43,.2,.2,"Consumer"
5734,.43,.2,.2,"Consumer"
5090,.43,.2,.2,"Consumer"
3341,.5,.2,.21,"Manuf."
4941,.5,.2,.21,"Manuf."
2673,.5,.2,.21,"Manuf."
3270,.5,.2,.21,"Manuf."
5331,.43,.2,.2,"Consumer"
3021,.5,.2,.21,"Manuf."
3826,.42,.2,.37,"High-tech"
3320,.5,.2,.21,"Manuf."
3569,.5,.2,.21,"Manuf."
7371,.42,.2,.37,"High-tech"
3490,.5,.2,.21,"Manuf."
3448,.5,.2,.21,"Manuf."
3822,.42,.2,.37,"High-tech"
3829,.42,.2,.37,"High-tech"
8734,.42,.2,.37,"High-tech"
5150,.43,.2,.2,"Consumer"
2082,.43,.2,.2,"Consumer"
5063,.43,.2,.2,"Consumer"
8742,.35,.2,.22,"Other"
5065,.43,.2,.2,"Consumer"
3330,.5,.2,.21,"Manuf."
6519,.35,.2,.22,"Other"
3231,.5,.2,.21,"Manuf."
3575,.42,.2,.37,"High-tech"
6510,.35,.2,.22,"Other"
2070,.43,.2,.2,"Consumer"
2721,.43,.2,.2,"Consumer"
3524,.5,.2,.21,"Manuf."
5661,.43,.2,.2,"Consumer"
3081,.5,.2,.21,"Manuf."
